title,director,genre,plot
The Social Network,David Fincher,Drama,"The dramatic account tracking Mark Zuckerberg from his Harvard dorm room as he creates Facebook, resulting in legal battles with early partners."
Zodiac,David Fincher,Mystery,An obsessive political cartoonist and a pair of investigators spend decades hunting the elusive Zodiac killer who taunts San Francisco police with cryptograms.
Gone Girl,David Fincher,Thriller,"A media circus ensues after a man's wife mysteriously vanishes on their anniversary, with clues pointing toward her husband as the prime homicide suspect."
The Curious Case of Benjamin Button,David Fincher,Drama,The whimsical chronicle of a man born with the physical characteristics of an eighty-year-old who systematically ages in reverse over the course of his life.
The Girl with the Dragon Tattoo,David Fincher,Mystery,"An investigative journalist and a brilliant, anti-social computer hacker are hired by an industrialist to solve the forty-year-old murder of his niece."
Panic Room,David Fincher,Thriller,A divorced mother and her daughter retreat inside the high-tech hidden panic room of their new home during a violent home invasion by three thieves.
The Game,David Fincher,Thriller,A wealthy investment banker receives a bizarre birthday gift from his brother: a live action role-playing game that seamlessly consumes his entire corporate life.
The Killer,David Fincher,Thriller,"After a near-miss execution goes wrong, a cold, methodical international assassin wages a targeted war against his employers on a global manhunt."
Mank,David Fincher,Biography,A biographical black-and-white look at 1930s Hollywood through the eyes of cynical screenwriter Herman J. Mankiewicz as he races to finish Citizen Kane.
Alien 3,David Fincher,Sci-Fi,"Ellen Ripley crash-lands on a desolate penal colony planet inhabited by religious inmates, discovering an alien parasite survived the journey with her."
Dune,Denis Villeneuve,Sci-Fi,The brilliant young heir Paul Atreides must travel to the most dangerous desert planet in the universe to secure his family's future amidst imperial betrayal.
Dune: Part Two,Denis Villeneuve,Sci-Fi,Paul Atreides unites with Chani and the Fremen desert warriors to seek ultimate revolutionary vengeance against the conspirators who destroyed his family.
Blade Runner 2049,Denis Villeneuve,Sci-Fi,"A new LAPD blade runner unearths a long-buried secret that has the potential to plunge the remnants of society into chaos, leading him to track down the missing former operative Rick Deckard."
Arrival,Denis Villeneuve,Sci-Fi,"A master linguistics professor is recruited by the US military to decode the unique, non-linear language of extraterrestrial visitors whose vessels float over Earth."
Sicario,Denis Villeneuve,Crime,"An idealistic FBI agent is drafted into a covert government task force to aid in the war against a brutal Mexican drug cartel, uncoupling herself from regular legal protocols."
Prisoners,Denis Villeneuve,Thriller,A desperate father takes the law into his own hands by kidnapping a suspect after his young daughter and her friend go missing in a suburban neighborhood.
Incendies,Denis Villeneuve,Drama,"Twin siblings travel to the Middle East to fulfill their late mother's last wishes, uncovering a shocking family history deeply scarred by civil conflict."
Enemy,Denis Villeneuve,Mystery,"A melancholy college history professor discovers his exact physical double acting in a minor movie, embarking on an obsessive search that shatters his psychological stability."
Polytechnique,Denis Villeneuve,Drama,A stark historical dramatization tracking the tragic events of the 1989 school shooting incident at Montreal's engineering facility through multiple perspectives.
Maelstrom,Denis Villeneuve,Drama,"A chaotic, narrative-driven feature following a depressed young boutique owner whose life changes after she commits a fatal hit-and-run accident with a fishmonger."
Psycho,Alfred Hitchcock,Horror,A secretary on the run with stolen cash checks into a secluded motel managed by a quiet young man under the intense psychological control of his mother.
Vertigo,Alfred Hitchcock,Mystery,"An acrophobic former detective is hired to shadow an old friend's suicidal wife, becoming dangerously obsessed with her image following a tragic fall."
Rear Window,Alfred Hitchcock,Thriller,"A wheelchair-bound photographer confined to his apartment courtyard uses binoculars to pass the time, becoming convinced he witnessed his neighbor commit a murder."
North by Northwest,Alfred Hitchcock,Thriller,"An innocent advertising executive is mistaken for a non-existent government secret agent, launching a cross-country flight pursued by foreign operatives."
The Birds,Alfred Hitchcock,Horror,"A wealthy socialite visits a small California coastal town, which is suddenly plagued by violent, unexplained mass avian assaults against the human population."
Notorious,Alfred Hitchcock,Thriller,The daughter of a convicted spy is recruited by an American agent to infiltrate a group of hidden Nazi scientists operating covertly in post-WWII Rio de Janeiro.
Rebecca,Alfred Hitchcock,Mystery,"A naive young woman marries a wealthy widower and moves to his massive coastal estate, finding herself haunted by the psychological legacy of his deceased first wife."
Rope,Alfred Hitchcock,Crime,"Two brilliant students execute a classmate simply to prove their intellectual superiority, hosting a dinner party with the body hidden inside a chest in the room."
Dial M for Murder,Alfred Hitchcock,Thriller,"A retired tennis professional plots the perfect crime to execute his wealthy wife for her inheritance, but an unexpected defense ruins his scheme."
Strangers on a Train,Alfred Hitchcock,Thriller,"Two passengers meet on a train journey and discuss swapping murders, with one taking the arrangement seriously and executing the other's estranged wife."
Shadow of a Doubt,Alfred Hitchcock,Thriller,"A young girl welcomes her charismatic uncle to town, gradually unearthing clues that link him to a series of methodical homicides across the country."
The 39 Steps,Alfred Hitchcock,Mystery,"An innocent civilian in London becomes accidentally entangled in an international espionage ring, fleeing to Scotland to stop the theft of military secrets."
Spellbound,Alfred Hitchcock,Mystery,"A psychiatrist attempts to unlock the repressed memories of an amnesiac director accused of murder, using dream analysis to identify the real killer."
The Lady Vanishes,Alfred Hitchcock,Mystery,"An old governess mysteriously disappears from a train journey through Europe, forcing a young woman to investigate despite other passengers denying the lady ever existed."
Suspicion,Alfred Hitchcock,Thriller,"A wealthy heiress marries a charming but reckless gambler, slowly becoming convinced that he plans to murder her to collect her life insurance policy."
To Catch a Thief,Alfred Hitchcock,Romance,A retired cat burglar operating on the French Riviera must catch a copycat thief to prove his own innocence to local police forces.
Frenzy,Alfred Hitchcock,Thriller,"London police hunt a serial killer who uses neckties to execute women, accidentally focusing their investigation on an innocent, hot-tempered former pilot."
Marnie,Alfred Hitchcock,Thriller,"A wealthy businessman catches a beautiful, compulsive thief robbing his safe, forcing her into marriage to uncover the deep childhood trauma driving her kleptomania."
Saboteur,Alfred Hitchcock,Thriller,"An aircraft factory worker goes on the run across America to clear his name after being wrongly accused of starting a fatal, sabotage-fueled fire."
Lifeboat,Alfred Hitchcock,Drama,"Following a U-boat ambush in WWII, several British and American survivors board a single lifeboat, rescueing the German captain who sunk their vessel."
The Terminator,James Cameron,Sci-Fi,A cyborg assassin is sent back in time from a post-apocalyptic future to eliminate a woman whose unborn son will lead mankind in a war against machines.
Terminator 2: Judgment Day,James Cameron,Sci-Fi,"An advanced, shapeshifting prototype cyborg is deployed to assassinate a young boy, who is protected by a reprogrammed older machine model."
Aliens,James Cameron,Sci-Fi,Ellen Ripley is awakened from stasis and accompanies an elite squad of colonial marines back to an isolated colony moon that has ceased all communications.
Titanic,James Cameron,Romance,"A wealthy young woman and a poor artist fall in love aboard the maiden voyage of the unsinkable luxury ocean liner, which hits an iceberg in the Atlantic."
Avatar,James Cameron,Sci-Fi,"A paraplegic marine deployed to a distant moon on a corporate mining mission inhabits a biological avatar body, aligning himself with the native humanoid species."
Avatar: The Way of Water,James Cameron,Sci-Fi,Jake Sully and his family seek refuge with an oceanic clan of Pandora to protect their children from a renewed assault by corporate military forces.
The Abyss,James Cameron,Sci-Fi,"A search and recovery team working alongside a deep-sea oil crew races to locate a sunken nuclear submarine, encountering an unexpected underwater intelligence."
True Lies,James Cameron,Action,A top-tier secret agent struggling to maintain a boring corporate cover story with his wife has his double life collapse when terrorists target his family.
Titanic 3D,James Cameron,Romance,"A historical re-release tracking the catastrophic sinking of the white star liner, remastered with depth vectors to highlight the scale of the maritime disaster."
The Godfather,Francis Ford Coppola,Crime,"The aging patriarch of an organized crime family transfers control of his clandestine empire to his reluctant youngest son, who is forced into a brutal turf war."
The Godfather: Part II,Francis Ford Coppola,Crime,"The dual narrative tracking a young Michael Corleone as he consolidates his criminal empire, contrasted with the origin story of his father Vito in early New York."
Apocalypse Now,Francis Ford Coppola,War,"During the Vietnam War, an army captain is sent on a covert river mission into Cambodia to locate and assassinate a rogue special forces colonel who declared himself a god."
The Conversation,Francis Ford Coppola,Thriller,An obsessive audio surveillance expert experiences a severe moral crisis when he suspects that the private conversation he secretly recorded will lead to a murder.
Bram Stoker's Dracula,Francis Ford Coppola,Horror,"The centuries-old vampire Count Dracula travels to London to pursue the lookalike reincarnation of his long-dead wife, leaving a trail of blood across Victorian society."
The Outsiders,Francis Ford Coppola,Drama,A bitter rivalry between two adolescent gangs in rural Oklahoma boils over when a confrontation leads to the accidental death of a wealthy rival faction member.
Rumble Fish,Francis Ford Coppola,Drama,"A small-time teenage street thug struggles to live up to the legendary reputation of his older brother, a missing gang leader known as the Motorcycle Boy."
The Godfather: Part III,Francis Ford Coppola,Crime,"An aging Michael Corleone attempts to legitimize his family assets and extricate his children from the criminal underworld, facing corporate betrayal inside the Vatican."
The Rainmaker,Francis Ford Coppola,Drama,"An idealistic young law school graduate takes on a massive, corrupt insurance corporation that refused to fund a life-saving medical procedure for a dying boy."
Tucker: The Man and His Dream,Francis Ford Coppola,Biography,"An eccentric engineer designs a revolutionary automobile in the post-WWII era, facing intense anti-competitive sabotage from Detroit's big three manufacturers."
Unforgiven,Clint Eastwood,Western,"An aging, retired outlaw takes one final bounty contract job with an old partner to collect a reward, confronting a brutal frontier sheriff."
Million Dollar Baby,Clint Eastwood,Drama,"A hardened, veteran boxing trainer reluctantly takes on an ambitious young woman from rural Missouri, guiding her to professional title fights until tragedy strikes."
Gran Torino,Clint Eastwood,Drama,"A bitter, retired auto worker and Korean War veteran develops an unexpected relationship with his Hmong neighbors after preventing a local gang assault."
Mystic River,Clint Eastwood,Mystery,"The lives of three childhood friends from Boston are shattered when the daughter of one is methodically murdered, putting another under intense investigation."
American Sniper,Clint Eastwood,Biography,"The biographical account of Navy SEAL sniper Chris Kyle, whose pinpoint accuracy saves countless lives on the battlefield but alienates his family back home."
Letters from Iwo Jima,Clint Eastwood,War,The historical account of the fierce Battle of Iwo Jima told from the perspective of the Japanese soldiers who defended the island against US forces.
Flags of Our Fathers,Clint Eastwood,War,"The historical account tracking the life of the servicemen who raised the flag at Iwo Jima, exploring how the image was exploited for war bonds."
Sully,Clint Eastwood,Biography,"Pilot Chesley Sullenberger executes an emergency landing on the Hudson River to save his passengers, facing intense investigation over his split-second decision."
Invictus,Clint Eastwood,History,Nelson Mandela enlists the South African rugby team to unite the deeply divided nation in the post-apartheid era by winning the 1995 World Cup.
The Mule,Clint Eastwood,Crime,"An eighty-year-old horticulturist facing financial ruin unknowingly accepts a job as a drug courier for a powerful Mexican cartel, drawing cartel attention."
No Country for Old Men,Joel Coen,Thriller,"A hunter stumbles upon a botched drug deal in the desert and takes a briefcase full of cash, pursued by a psychopathic assassin who utilizes a cattle gun."
Fargo,Joel Coen,Crime,"A desperate car salesman hires two incompetent criminals to kidnap his own wife for ransom, sparking a bloody investigation by a pregnant local police chief."
The Big Lebowski,Joel Coen,Comedy,"An unemployed slacker and bowling enthusiast is mistaken for a local millionaire with the same name, drawing him into a chaotic kidnapping plot involving nihilists."
"O Brother, Where Art Thou?",Joel Coen,Comedy,"Three escaped convicts search for hidden treasure in the deep south during the Great Depression, encountering a series of bizarre characters loosely based on the Odyssey."
Miller's Crossing,Joel Coen,Crime,An analytical advisor to a powerful mob boss plays both sides of an escalation between rival Italian and Irish gangs during the Prohibition era.
True Grit,Joel Coen,Western,"A stubborn fourteen-year-old girl recruits a trigger-happy, alcoholic US Marshal to track down the outlaw who murdered her father in Indian territory."
Inside Llewyn Davis,Joel Coen,Drama,"A week in the life of a talented but chronically broke folk singer as he navigates the cold streets of 1961 Greenwich Village, seeking a musical breakthrough."
A Serious Man,Joel Coen,Comedy,"A midwestern physics professor watches his regular life systematically collapse through divorce, career sabotage, and demanding neighbors, seeking guidance from rabbis."
Barton Fink,Joel Coen,Drama,"A political New York playwright moves to Hollywood in 1941 to write a wrestling movie script, experiencing severe writer's block inside a surreal hotel room."
Burn After Reading,Joel Coen,Comedy,"Two dim-witted gym employees stumble upon a disc containing the memoirs of a cynical CIA analyst, attempting to blackmail him to fund cosmetic surgery."
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Fantasy,"A young hobbit inherits a powerful, corrupted ring and must journey toward a volcano venue to destroy it, protected by an alliance of warriors."
The Lord of the Rings: The Two Towers,Peter Jackson,Fantasy,"The fractured alliance continues their quest, with two hobbits guided by a treacherous creature while their companions rally forces against dark armies."
The Lord of the Rings: The Return of the King,Peter Jackson,Fantasy,The final battle for civilization culminates as a brave warrior claims his ancestral throne while the hobbits reach the volcano core to destroy the ring.
King Kong,Peter Jackson,Adventure,"An ambitious film director leads his crew to an uncharted island, capturing a colossal ape and transporting the creature to New York for exhibition."
The Hobbit: An Unexpected Journey,Peter Jackson,Fantasy,A reluctant hobbit is recruited by a wizard and a company of dwarves to reclaim a lost mountain kingdom from a fierce dragon.
The Hobbit: The Desolation of Smaug,Peter Jackson,Fantasy,"The dwarves continue their trek eastward, navigating dangerous forests and political corruption to breach the mountain and confront the dragon Smaug."
The Hobbit: The Battle of the Five Armies,Peter Jackson,Fantasy,The reclamation of the dwarf kingdom sparks an escalation as five distinct military forces converge on the mountain for a decisive confrontation.
The Lovely Bones,Peter Jackson,Drama,"A murdered young girl observes her grieving family and her hidden killer from a surreal afterlife state, struggling to balance vengeance and peace."
Heavenly Creatures,Peter Jackson,Crime,Based on a true story tracking two intense teenage girls whose obsessive friendship and vivid fantasy lives lead them to execute a brutal murder.
Dead Alive,Peter Jackson,Horror,"A young man must deal with his overbearing mother turning into a ravenous zombie after an exotic monkey bite, causing an outbreak in his neighborhood."
Pan's Labyrinth,Guillermo del Toro,Fantasy,"In post-civil war Spain, a young girl escapes her cruel military stepfather by discovering a hidden stone labyrinth guarded by a mythical faun creature."
The Shape of Water,Guillermo del Toro,Romance,A mute cleaning woman working inside a high-security government research facility in the 1960s discovers and falls in love with an amphibious creature.
Hellboy,Guillermo del Toro,Action,A red-skinned demon raised by a secret government agency fights occult forces and paranormal threats to protect humanity from dark incursions.
Hellboy II: The Golden Army,Guillermo del Toro,Action,Hellboy must stop an underground elven prince from awakening an unstoppable legion of mechanical warriors to eradicate the human race.
Pacific Rim,Guillermo del Toro,Sci-Fi,Humanity deploys massive pilot-controlled mechanical suits to fight towering alien monsters that emerge from a portal beneath the Pacific ocean.
Crimson Peak,Guillermo del Toro,Horror,"An aspiring author marries a mysterious aristocrat and moves to his decaying gothic mansion, discovering the house harbors ghostly entities and dark secrets."
Nightmare Alley,Guillermo del Toro,Thriller,"An ambitious carnival worker skilled in psychological manipulation swindles wealthy elites in 1940s society, allied with a dangerous psychiatrist."
Cronos,Guillermo del Toro,Horror,"An elderly antique dealer uncovers a golden mechanical scarab artifact that grants youth and immortality, discovering it requires a hunger for human blood."
The Devil's Backbone,Guillermo del Toro,Horror,An orphan boy arriving at a remote school during the Spanish Civil War is haunted by the spectral image of a student murdered on the grounds.
Blade II,Guillermo del Toro,Action,The vampire hunter Blade forms a temporary alliance with an elite vampire squad to hunt down a mutated strain of monsters that preys on both humans and vampires.
